Title,URL,Assignees,Status,Linked pull requests,Sub-issues progress
US-14 Match Notification (3 pts),https://github.com/dmitc072/OuttyDatingApp/issues/21,,Todo,,
US-01 Google SSO Login (5 pts),https://github.com/dmitc072/OuttyDatingApp/issues/1,jazminj0619,Done,,
Create UI design (3pts),https://github.com/dmitc072/OuttyDatingApp/issues/2,jazminj0619,Done,,
US-02 Create User Profile (3pts),https://github.com/dmitc072/OuttyDatingApp/issues/3,jazminj0619,Done,,
US-03 Upload Profile Photos (3pts),https://github.com/dmitc072/OuttyDatingApp/issues/4,jazminj0619,Done,,
US-04 Delete User Account (2pts),https://github.com/dmitc072/OuttyDatingApp/issues/5,jazminj0619,Done,,
US-12 Set up Database,https://github.com/dmitc072/OuttyDatingApp/issues/23,dmitc072,Done,,
US-06 — Select Adventure Types (3 pts),https://github.com/dmitc072/OuttyDatingApp/issues/6,jazminj0619,In Progress,,
US-07 — Set Skill Level per Activity (3 pts),https://github.com/dmitc072/OuttyDatingApp/issues/7,ybarnes998,In Progress,,
US-08 Set Search Radius (2 pts),https://github.com/dmitc072/OuttyDatingApp/issues/17,ybarnes998,In Progress,,
US-09 Set Availability (2pts),https://github.com/dmitc072/OuttyDatingApp/issues/18,ybarnes998,In Progress,,0 / 3 (0%)
US-10 Swipe Left/Right UI (5 pts),https://github.com/dmitc072/OuttyDatingApp/issues/19,ybarnes998,In Progress,,0 / 3 (0%)
US-11 Matching Algorithm (5 pts),https://github.com/dmitc072/OuttyDatingApp/issues/20,dmitc072,In Progress,,
US-13 Display Read Receipts UI,https://github.com/dmitc072/OuttyDatingApp/issues/25,jazminj0619,In Progress,,
US-15 In App Messaging UI,https://github.com/dmitc072/OuttyDatingApp/issues/24,jazminj0619,In Progress,,
Browse Potential Matches,https://github.com/dmitc072/OuttyDatingApp/issues/10,,Todo,,
Like or Pass on Matches,https://github.com/dmitc072/OuttyDatingApp/issues/11,,Todo,,
Generate Mutual Matches,https://github.com/dmitc072/OuttyDatingApp/issues/12,,Todo,,
Send Match Notifications,https://github.com/dmitc072/OuttyDatingApp/issues/13,,Todo,,
In-App Messaging,https://github.com/dmitc072/OuttyDatingApp/issues/14,,Todo,,
Display Read Receipts,https://github.com/dmitc072/OuttyDatingApp/issues/15,,Todo,,
Link Instagram Profile,https://github.com/dmitc072/OuttyDatingApp/issues/16,,Todo,,
US-16 Read Receipt UI,https://github.com/dmitc072/OuttyDatingApp/issues/27,jazminj0619,In Progress,,
