Title,URL,Assignees,Status,Linked pull requests,Sub-issues progress
US-14 Match Notification (3 pts),https://github.com/dmitc072/OuttyDatingApp/issues/21,,Todo,,
Browse Potential Matches,https://github.com/dmitc072/OuttyDatingApp/issues/10,,Todo,,
Like or Pass on Matches,https://github.com/dmitc072/OuttyDatingApp/issues/11,,Todo,,
Generate Mutual Matches,https://github.com/dmitc072/OuttyDatingApp/issues/12,,Todo,,
Send Match Notifications,https://github.com/dmitc072/OuttyDatingApp/issues/13,,Todo,,
In-App Messaging,https://github.com/dmitc072/OuttyDatingApp/issues/14,,Todo,,
Display Read Receipts,https://github.com/dmitc072/OuttyDatingApp/issues/15,,Todo,,
Link Instagram Profile,https://github.com/dmitc072/OuttyDatingApp/issues/16,,Todo,,
Design SwipePage.xaml in Figma (profile card layout),https://github.com/dmitc072/OuttyDatingApp/issues/29,dmitc072,Todo,,
"Build SwipePage.xaml: profile card, swipe gesture detection, off-screen animation",https://github.com/dmitc072/OuttyDatingApp/issues/30,jazminj0619,Todo,,
Record swipe result (like/pass) to Azure SQL via MatchService,https://github.com/dmitc072/OuttyDatingApp/issues/31,dmitc072,Todo,,
Add availability selector to PreferencesPage; show it on swipe deck profile card,https://github.com/dmitc072/OuttyDatingApp/issues/32,ybarnes998,Todo,,
Save availability to user profile in Azure SQL,https://github.com/dmitc072/OuttyDatingApp/issues/33,ybarnes998,Todo,,
US-09 Set Availability (2pts),https://github.com/dmitc072/OuttyDatingApp/issues/18,ybarnes998,In Progress,,1 / 3 (33%)
US-10 Swipe Left/Right UI (5 pts),https://github.com/dmitc072/OuttyDatingApp/issues/19,ybarnes998,In Progress,,0 / 3 (0%)
US-13 Display Read Receipts UI,https://github.com/dmitc072/OuttyDatingApp/issues/25,jazminj0619,In Progress,,
US-15 In App Messaging UI,https://github.com/dmitc072/OuttyDatingApp/issues/24,jazminj0619,In Progress,,
US-16 Read Receipt UI,https://github.com/dmitc072/OuttyDatingApp/issues/27,jazminj0619,In Progress,,
US-06 — Select Adventure Types (3 pts),https://github.com/dmitc072/OuttyDatingApp/issues/6,dmitc072,Done,,
US-07 — Set Skill Level per Activity (3 pts),https://github.com/dmitc072/OuttyDatingApp/issues/7,dmitc072,Done,,
US-01 Google SSO Login (5 pts),https://github.com/dmitc072/OuttyDatingApp/issues/1,jazminj0619,Done,,
Create UI design (3pts),https://github.com/dmitc072/OuttyDatingApp/issues/2,jazminj0619,Done,,
US-02 Create User Profile (3pts),https://github.com/dmitc072/OuttyDatingApp/issues/3,jazminj0619,Done,,
US-03 Upload Profile Photos (3pts),https://github.com/dmitc072/OuttyDatingApp/issues/4,jazminj0619,Done,,
US-04 Delete User Account (2pts),https://github.com/dmitc072/OuttyDatingApp/issues/5,jazminj0619,Done,,
US-12 Set up Database,https://github.com/dmitc072/OuttyDatingApp/issues/23,dmitc072,Done,,
US-11 Matching Algorithm (5 pts),https://github.com/dmitc072/OuttyDatingApp/issues/20,dmitc072,Done,,
Search Radius Algorithm,https://github.com/dmitc072/OuttyDatingApp/issues/36,dmitc072,Done,,
Update Location information in Profile,https://github.com/dmitc072/OuttyDatingApp/issues/38,dmitc072,Done,,
US-08 Set Search Radius (2 pts),https://github.com/dmitc072/OuttyDatingApp/issues/17,ybarnes998,Done,,3 / 3 (100%)
Search Radius UI,https://github.com/dmitc072/OuttyDatingApp/issues/35,ybarnes998,Done,,
Create OAuth for Google,https://github.com/dmitc072/OuttyDatingApp/issues/39,dmitc072,Done,,
Write unit tests for availability save,https://github.com/dmitc072/OuttyDatingApp/issues/34,dmitc072,Done,,
